folio,nro,Real,Prediccion_RF,Probabilidad_RF,Prediccion_LR,Probabilidad_LR
821-002793-A-0131,3.0,1,1,0.9520150684948586,1,0.7273519196199523
311-000128-A-0091,4.0,1,1,0.8711952626317071,1,0.7152437533171537
453-006231-D-0121,3.0,1,1,0.6159166988613454,0,0.21338234134984832
314-005080-A-0251,4.0,1,1,0.8694272393106868,1,0.6620273493778245
232-018290-A-0011,2.0,0,1,0.5342939924798304,0,0.30367651577206445
623-002612-A-0031,4.0,1,1,0.881605632151233,1,0.553376304695927
823-001609-A-0131,4.0,1,1,0.9345549547387878,1,0.7339299102191146
533-002475-A-0031,2.0,1,1,0.9279493854382019,1,0.9639159155402418
714-010164-A-0041,4.0,1,1,0.9367075697643809,1,0.9048411667732801
313-001503-A-0031,2.0,1,1,0.9186078531342671,1,0.9712159470129258
652-004137-D-0011,4.0,1,1,0.9500336481552214,1,0.679869870931148
512-000305-A-0141,4.0,1,1,0.9916635536749916,1,0.9056303852019814
712-001695-A-0091,4.0,1,1,0.6606926790808682,1,0.9600917139440457
213-001811-A-0231,6.0,1,1,0.8520560366596625,1,0.7527349330194364
314-004411-A-0171,5.0,1,1,0.9841287337859649,1,0.9222580599187018
214-004007-A-0021,3.0,1,1,0.9692884555756751,1,0.9090292055407123
213-001972-A-0031,5.0,1,1,0.673600488646299,1,0.9879676550728983
941-000909-D-0191,6.0,1,1,0.7814525604464715,1,0.5302726785235186
261-007038-A-0011,4.0,1,1,0.9803422555378382,1,0.9599028334087575
412-000536-A-0031,3.0,1,1,0.63761821244165,0,0.25773188610447106
821-002777-A-0321,4.0,1,1,0.9676468229633409,1,0.7611630482504204
534-002993-A-0101,3.0,1,1,0.9433298988754469,1,0.7850072801355934
723-013128-A-0221,3.0,1,1,0.9504540176370667,1,0.5218584639536152
132-002776-A-0071,4.0,1,1,0.7821932746951202,1,0.9737721872131255
821-002793-A-0041,6.0,1,1,0.9994765093319093,1,0.9670007875134999
413-001714-A-0161,4.0,1,1,0.9403551148213235,1,0.9270178328621883
214-005555-A-0481,3.0,1,1,0.990255690385037,1,0.97282489609662
262-010443-A-0061,2.0,1,1,0.9565737863373756,1,0.7309230621384977
852-004057-D-0141,3.0,1,1,0.9281172972626662,1,0.5944147717341012
722-012849-A-0181,3.0,1,1,0.9648722371539757,1,0.6701525495206628
712-002031-A-0521,3.0,1,1,0.6304471997730726,0,0.42589753988476053
314-006324-A-0091,3.0,1,1,0.9412542494311251,1,0.7085756583882586
942-000662-A-0121,4.0,1,1,0.9268662812675214,1,0.5451983700359316
263-016881-A-0101,5.0,1,1,0.9511234133157236,1,0.9406321741392365
251-027234-D-0011,5.0,1,1,0.9012779364429749,0,0.35114305135750734
532-002531-A-0051,4.0,1,1,0.9064728826307371,1,0.851304349814524
351-014883-D-0221,3.0,1,1,0.9650471568573401,1,0.7233094597146568
344-015667-D-0021,3.0,1,1,0.9869446364193417,1,0.9240489748442311
263-014332-A-0291,4.0,1,1,0.7321685793990202,1,0.5103440720767696
942-000662-A-0071,4.0,1,1,0.6973977612089974,1,0.8187702899672844
112-000822-A-0381,5.0,1,1,0.9013571597326819,1,0.8031998756516971
943-000628-A-0111,8.0,1,1,0.9748600943955705,1,0.9566972385887227
821-001044-A-0021,3.0,1,1,0.7074812673566513,0,0.408954829671325
711-000125-A-0051,3.0,1,1,0.9673193165688764,1,0.8265674717780792
713-005200-A-0081,3.0,1,1,0.9864914902708032,1,0.7458747167999149
443-004584-A-0011,3.0,1,1,0.9874425787636388,1,0.8902623215309058
523-002742-A-0011,6.0,1,1,0.9273837691130166,1,0.9801989832569494
622-002928-A-0221,4.0,1,1,0.8771740821221343,1,0.639012980893415
822-001461-A-0081,7.0,1,1,0.8957330507607025,1,0.8137739523324224
543-006060-D-0231,4.0,1,1,0.542178399123694,0,0.2704283997823785
513-000810-A-0051,5.0,1,1,0.9990199697505705,1,0.908825123368826
713-005080-A-0921,3.0,1,1,0.9360722326197386,1,0.5918060373164552
822-001902-A-0111,5.0,1,1,0.9824064053799685,1,0.8403226523165648
521-001875-A-0131,5.0,1,1,0.7855833111676336,1,0.6265771538153766
852-003657-D-0151,4.0,1,1,0.886312382697868,1,0.5189680625216585
314-003333-A-0221,3.0,1,1,0.9889804317220418,1,0.8508954602556816
213-003667-A-0211,4.0,1,1,0.834285397908231,0,0.47597687538507316
142-003179-A-0081,3.0,1,1,0.9688652507587623,1,0.9696813852930369
654-003675-D-0281,4.0,1,1,0.7604116603899291,0,0.45656997276860084
943-000645-A-0271,4.0,0,1,0.8464433575978902,1,0.9081768694789233
262-012904-A-0081,3.0,1,1,0.8110074312786121,1,0.9728127135830904
241-028187-D-0461,3.0,1,1,0.989793087074609,1,0.9442334352382852
262-009630-A-0261,3.0,1,1,0.9391083707954021,1,0.809954235608973
